,inc_ceil,low_ceil,non_prof,basis,bond,mff_ra,fmha_515,fmha_538,home,cdbg,hopevi,tcep,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,type,credit,metro,dda,qct,is_highMOE,target
38559,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0,750000.0
29521,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0,201115.0
35647,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,450930.0
12347,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1,1084561.0
24725,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0,150000.0
47243,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0,311050.0
21723,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0,368252.0
47276,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1,826791.0
29516,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0,550696.0
41488,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1435386.0
41023,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0,641828.0
31972,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0,560054.0
43664,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0,163854.0
25697,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0,750000.0
47300,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0,960807.0
25927,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0,450000.0
25677,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0,750000.0
25974,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0,616250.0
21738,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0,193394.0
843,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0,200000.0
31993,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0,880819.0
